Register,PassiveType,Aux,PP
Written,BE-pp,be,allowed
Written,BE-pp,being,allowed
Written,BE-pp,being,allowed
Written,BE-pp,being,allowed
Written,BE-pp,are,allowed
Written,BE-pp,is,allowed
Written,BE-pp,is,allowed
Written,BE-pp,being,allowed
Written,BE-pp,being,allowed
Written,BE-pp,be,allowed
Written,BE-pp,were,allowed
Written,BE-pp,be,allowed
Written,BE-pp,be,allowed
Written,BE-pp,being,allowed
Written,BE-pp,being,allowed
Written,BE-pp,being,allowed
Written,BE-pp,be,allowed
Written,BE-pp,being,allowed
Written,BE-pp,being,allowed
Written,BE-pp,being,allowed
Written,BE-pp,is,allowed
Written,BE-pp,was,allowed
Written,BE-pp,be,allowed
Written,BE-pp,were,allowed
Written,BE-pp,were,allowed
Written,BE-pp,were,allowed
Written,BE-pp,be,allowed
Written,BE-pp,be,allowed
Written,BE-pp,be,allowed
Written,BE-pp,be,allowed
Written,BE-pp,are,allowed
Written,BE-pp,be,allowed
Written,BE-pp,be,allowed
Written,BE-pp,being,allowed
Written,BE-pp,being,allowed
Written,BE-pp,were,allowed
Written,BE-pp,being,allowed
Written,BE-pp,being,allowed
Written,BE-pp,are,allowed
Written,BE-pp,being,allowed
Written,BE-pp,being,allowed
Written,BE-pp,being,allowed
Written,BE-pp,being,allowed
Written,BE-pp,being,allowed
Written,BE-pp,is,allowed
Written,BE-pp,be,allowed
Written,BE-pp,be,allowed
Written,BE-pp,are,allowed
Written,BE-pp,be,allowed
Written,BE-pp,are,allowed
Written,BE-pp,is,allowed
Written,BE-pp,are,allowed
Written,BE-pp,are,allowed
Written,BE-pp,are,allowed
Written,BE-pp,was,allowed
Written,BE-pp,were,allowed
Written,BE-pp,being,allowed
Written,BE-pp,be,allowed
Written,BE-pp,is,allowed
Written,BE-pp,be,allowed
Written,BE-pp,were,allowed
Written,BE-pp,be,allowed
Written,BE-pp,been,allowed
Written,BE-pp,was,allowed
Written,BE-pp,were,allowed
Written,BE-pp,being,allowed
Written,BE-pp,been,allowed
Written,BE-pp,be,allowed
Written,BE-pp,are,allowed
Written,BE-pp,be,allowed
Written,BE-pp,be,allowed
Written,BE-pp,is,allowed
Written,BE-pp,be,allowed
Written,BE-pp,been,allowed
Written,BE-pp,be,allowed
Written,BE-pp,were,allowed
Written,BE-pp,are,allowed
Written,BE-pp,be,allowed
Written,BE-pp,be,allowed
Written,BE-pp,were,allowed
Written,BE-pp,being,allowed
Written,BE-pp,be,allowed
Written,BE-pp,be,allowed
Written,BE-pp,be,allowed
Written,BE-pp,are,already
Written,BE-pp,was,already
Written,BE-pp,is,limited
Written,BE-pp,was,attended
Written,BE-pp,was,informed
Written,BE-pp,was,arrested
Written,BE-pp,was,altered
Written,BE-pp,were,amalgamated
Written,BE-pp,were,amalgamated
Written,BE-pp,been,amazed
Written,BE-pp,'s,amazed
Written,BE-pp,was,amazed
Written,BE-pp,was,amazed
Written,BE-pp,been,amazed
Written,BE-pp,were,amazed
Written,BE-pp,been,amazed
Written,BE-pp,were,ambushed
Written,BE-pp,was,amended
Written,BE-pp,be,amended
Written,BE-pp,was,amplified
Written,BE-pp,were,amputated
Written,BE-pp,be,analysed
Written,BE-pp,is,analysed
Written,BE-pp,is,analysed
Written,BE-pp,been,analysed
Written,BE-pp,were,anchored
Written,BE-pp,was,anchored
Written,BE-pp,be,anchored
Written,BE-pp,been,angered
Written,BE-pp,are,angled
Written,BE-pp,are,angled
Written,BE-pp,is,announced
Written,BE-pp,was,announced
Written,BE-pp,been,announced
Written,BE-pp,be,announced
Written,BE-pp,was,announced
Written,BE-pp,been,announced
Written,BE-pp,was,announced
Written,BE-pp,be,announced
Written,BE-pp,been,announced
Written,BE-pp,be,announced
Written,BE-pp,was,announced
Written,BE-pp,be,announced
Written,BE-pp,was,announced
Written,BE-pp,be,announced
Written,BE-pp,were,announced
Written,BE-pp,be,announced
Written,BE-pp,was,announced
Written,BE-pp,was,announced
Written,BE-pp,was,announced
Written,BE-pp,were,announced
Written,BE-pp,was,announced
Written,BE-pp,was,announced
Written,BE-pp,was,announced
Written,BE-pp,were,announced
Written,BE-pp,be,announced
Written,BE-pp,were,announced
Written,BE-pp,were,announced
Written,BE-pp,be,announced
Written,BE-pp,be,announced
Written,BE-pp,are,announced
Written,BE-pp,being,announced
Written,BE-pp,be,announced
Written,BE-pp,being,announced
Written,BE-pp,being,announced
Written,BE-pp,were,announced
Written,BE-pp,was,announced
Written,BE-pp,be,announced
Written,BE-pp,be,announced
Written,BE-pp,was,announced
Written,BE-pp,were,announced
Written,BE-pp,been,announced
Written,BE-pp,be,announced
Written,BE-pp,was,announced
Written,BE-pp,been,announced
Written,BE-pp,were,announced
Written,BE-pp,was,announced
Written,BE-pp,was,announced
Written,BE-pp,was,announced
Written,BE-pp,was,announced
Written,BE-pp,was,announced
Written,BE-pp,was,annoyed
Written,BE-pp,be,annoyed
Written,BE-pp,been,annulled
Written,BE-pp,Be,Annulled
Written,BE-pp,been,anointed
Written,BE-pp,is,answered
Written,BE-pp,be,answered
Written,BE-pp,be,answered
Written,BE-pp,be,answered
Written,BE-pp,be,answered
Written,BE-pp,is,anticipated
Written,BE-pp,was,anticipated
Written,BE-pp,is,anticipated
Written,BE-pp,are,anticipated
Written,BE-pp,is,anticipated
Written,BE-pp,is,anticipated
Written,BE-pp,are,antiquated
Written,BE-pp,were,appalled
Written,BE-pp,were,appalled
Written,BE-pp,was,appalled
Written,BE-pp,was,applauded
Written,BE-pp,be,applauded
Written,BE-pp,being,applied
Written,BE-pp,be,applied
Written,BE-pp,being,applied
Written,BE-pp,is,applied
Written,BE-pp,is,applied
Written,BE-pp,be,applied
Written,BE-pp,is,applied
Written,BE-pp,is,applied
Written,BE-pp,being,applied
