Register,PassiveType,Aux,PP,Sentiment
Written,BE-pp,was,affected,-0.1531
Written,BE-pp,be,affected,-0.1531
Written,BE-pp,be,affected,-0.1531
Written,BE-pp,is,affiliated,0.0
Written,BE-pp,is,affiliated,0.0
Written,BE-pp,is,affiliated,0.0
Written,BE-pp,been,affiliated,0.0
Written,BE-pp,is,affiliated,0.0
Written,BE-pp,was,affixed,0.0
Written,BE-pp,be,afforded,0.0
Written,BE-pp,be,afforded,0.0
Written,BE-pp,was,aged,0.0
Written,BE-pp,be,aged,0.0
Written,BE-pp,am,agonized,-0.4939
Written,BE-pp,been,agreed,0.2732
Written,BE-pp,been,agreed,0.2732
Written,BE-pp,been,agreed,0.2732
Written,BE-pp,was,agreed,0.2732
Written,BE-pp,was,agreed,0.2732
Written,BE-pp,were,agreed,0.2732
Written,BE-pp,was,agreed,0.2732
Written,BE-pp,be,agreed,0.2732
Written,BE-pp,been,agreed,0.2732
Written,BE-pp,is,agreed,0.2732
Written,BE-pp,be,agreed,0.2732
Written,BE-pp,been,agreed,0.2732
Written,BE-pp,be,aided,0.0
Written,BE-pp,is,aimed,0.0
Written,BE-pp,is,aimed,0.0
Written,BE-pp,is,aimed,0.0
Written,BE-pp,is,aimed,0.0
Written,BE-pp,are,aimed,0.0
Written,BE-pp,was,aimed,0.0
Written,BE-pp,is,aimed,0.0
Written,BE-pp,was,aimed,0.0
Written,BE-pp,is,aimed,0.0
Written,BE-pp,was,aimed,0.0
Written,BE-pp,is,aimed,0.0
Written,BE-pp,are,aimed,0.0
Written,BE-pp,is,aimed,0.0
Written,BE-pp,is,aimed,0.0
Written,BE-pp,is,aimed,0.0
Written,BE-pp,is,aimed,0.0
Written,BE-pp,is,aimed,0.0
Written,BE-pp,is,aimed,0.0
Written,BE-pp,was,aimed,0.0
Written,BE-pp,was,aimed,0.0
Written,BE-pp,is,aimed,0.0
Written,BE-pp,is,aimed,0.0
Written,BE-pp,been,aimed,0.0
Written,BE-pp,are,aimed,0.0
Written,BE-pp,is,aimed,0.0
Written,BE-pp,was,aired,0.0
Written,BE-pp,being,aired,0.0
Written,BE-pp,being,aired,0.0
Written,BE-pp,being,aired,0.0
Written,BE-pp,being,aired,0.0
Written,BE-pp,was,airlifted,0.0
Written,BE-pp,be,airlifted,0.0
Written,BE-pp,is,alarmed,-0.34
Written,BE-pp,were,alerted,0.0
Written,BE-pp,were,alerted,0.0
Written,BE-pp,are,alerted,0.0
Written,BE-pp,were,alerted,0.0
Written,BE-pp,were,alerted,0.0
Written,BE-pp,be,aligned,0.0
Written,BE-pp,been,mentioned,0.0
Written,BE-pp,is,alleged,0.0
Written,BE-pp,is,alleged,0.0
Written,BE-pp,'s,alleged,0.0
Written,BE-pp,is,alleged,0.0
Written,BE-pp,is,alleged,0.0
Written,BE-pp,'s,alleged,0.0
Written,BE-pp,are,alleged,0.0
Written,BE-pp,is,alleged,0.0
Written,BE-pp,'s,alleged,0.0
Written,BE-pp,was,alleged,0.0
Written,BE-pp,is,alleged,0.0
Written,BE-pp,was,alleged,0.0
Written,BE-pp,is,alleged,0.0
Written,BE-pp,was,recorded,0.0
Written,BE-pp,is,allied,0.0
Written,BE-pp,been,allocated,0.0
Written,BE-pp,be,allocated,0.0
Written,BE-pp,be,allocated,0.0
Written,BE-pp,is,allocated,0.0
Written,BE-pp,been,allocated,0.0
Written,BE-pp,been,allocated,0.0
Written,BE-pp,been,allocated,0.0
